Site_Name,Latitude,Longitude
Camden Kerbside,51.5441918,-0.17523215
Haringey Roadside,51.5993048,-0.0682344
Horley,51.1716895,-0.1640754
London Bexley,51.466024,0.184890376
London Bloomsbury,51.5222216,-0.1258703
London Eltham,51.4505687,0.0541253
London Harlington,51.4884891,-0.4363028
London Hillingdon,51.5425193,-0.448334931
London Marylebone Road,51.5225329,-0.15459455
London N. Kensington,51.5210726,-0.21342311
Southwark A2 Old Kent Road,51.4804855,-0.0594377
Thurrock,51.5080169,0.39628174
Tower Hamlets Roadside,51.5225204,-0.0422974
